"código","nome","numero de vendas","valor vendido","ABC","ABC %"
"8,1","5X5 BRANCA","3977.0","12146,53","A","17,85"
"54","BATISMO DOURADA","4470.0","9492,9","A","13,95"
"9,1","30X7 BRANCA","230.0","6946,61","A","10,21"
"24,1","20X7 BRANCA","338.0","6790,0","A","9,98"
"70,1","PALITO C/100 BRANCA","112.0","5175,59","A","7,6"
"14,1","CIRIO 40X2,7 BRANCA","362.0","3670,37","A","5,39"
"24,2","20X7 AMARELA","140.0","3049,2","A","4,48"
"82,1","7X5 BRANCA","616.0","2526,4","A","3,71"
"9,2","30X7 AMARELA","85.0","2415,18","A","3,55"
"107","CRISMA DOURADA","1350.0","2236,5","B","3,29"
"198,1","NUMERO 5 C/8 BRANCA","188.0","1874,36","B","2,75"
"32","PRIMEIRA COMUNHAO DOURADA","930.0","1562,95","B","2,3"
"42,1","15X7 BRANCA","72.0","1346,16","B","1,98"
"160,1","40X7 BRANCA","28.0","1093,84","B","1,61"
"42,2","15X7 AMARELA","48.0","937,25","B","1,38"
"101,2","25X8 AMARELA","17.0","913,76","B","1,34"
"17","LIBRA C/10","17.0","766,8","B","1,13"
"158,1","35X7 BRANCA","12.0","707,3","B","1,04"
"14,2","CIRIO 40X2,7 AMARELA","80.0","580,0","B","0,85"
"23,2","30X8 AMARELA","15.0","508,05","C","0,75"
"157,1","40X8 BRANCA","6.0","493,56","C","0,73"
"104,1","15X8 BRANCA","16.0","461,65","C","0,68"
"10,1","15X5 VOTIVA BRANCA","59.0","454,67","C","0,67"
"21,1","10X7 BRANCA","36.0","366,12","C","0,54"
"216,1","40x3,5 BRANCA","27.0","362,38","C","0,53"
"48,1","25X7 BRANCA","7.0","292,13","C","0,43"
"15,2","20X8 AMARELA","6.0","222,57","C","0,33"
"200,1","NUMERO 8 C/8 BRANCA","16.0","123,61","C","0,18"
"167,1","CIRIO 15X2,7 BRANCA","26.0","117,47","C","0,17"
"101,1","25X8 BRANCA","2.0","102,8","C","0,15"
"69","LITÚRGICA C/10","1.0","102,0","C","0,15"
"49,1","3X5 BRANCA","34.0","77,52","C","0,11"
"165,1","CIRIO 20X2,7 BRANCA","12.0","51,36","C","0,08"
"59,5","FLOR P ROSA","10.0","35,0","C","0,05"
"81,1","RECHAUD  ","20.0","26,0","C","0,04"
"64,1","2X8 FLUTUANTE BRANCA","4.0","22,0","C","0,03"
"163,1","CIRIO 35X2,7 BRANCA","1.0","11,5","C","0,02"
"","Total vendido","","","","68062,09"
