"código","nome","numero de vendas","valor vendido","ABC","ABC %"
"54","BATISMO DOURADA","6950.0","13435,33","A","17,85"
"10,3","15X5 VOTIVA AMARELA","840.0","6921,6","A","9,2"
"70,1","PALITO C/100 BRANCA","2999.0","6353,48","A","8,44"
"9,1","30X7 BRANCA","175.0","5974,0","A","7,94"
"24,1","20X7 BRANCA","244.0","5216,81","A","6,93"
"32","PRIMEIRA COMUNHAO DOURADA","2650.0","4726,0","A","6,28"
"107","CRISMA DOURADA","1950.0","3571,5","A","4,75"
"14,1","CIRIO 40X2,7 BRANCA","374.0","3410,55","A","4,53"
"42,1","15X7 BRANCA","184.0","2802,42","A","3,72"
"101,1","25X8 BRANCA","90.0","2619,9","A","3,48"
"9,2","30X7 AMARELA","72.0","2439,36","A","3,24"
"10,1","15X5 VOTIVA BRANCA","265.0","2126,32","A","2,83"
"8,1","5X5 BRANCA","542.0","1741,72","B","2,31"
"23,1","30X8 BRANCA","33.0","1637,93","B","2,18"
"48,1","25X7 BRANCA","60.0","1483,92","B","1,97"
"82,1","7X5 BRANCA","315.0","1367,1","B","1,82"
"24,2","20X7 AMARELA","60.0","1219,56","B","1,62"
"160,2","40X7 AMARELA","24.0","967,2","B","1,29"
"50","SACRAMENTO LISA","500.0","825,0","B","1,1"
"29,1","CIRIO 30X2,7 BRANCA","141.0","807,37","B","1,07"
"15,1","20X8 BRANCA","30.0","696,3","B","0,93"
"14,2","CIRIO 40X2,7 AMARELA","64.0","595,58","B","0,79"
"23,2","30X8 AMARELA","15.0","554,4","C","0,74"
"210,1","10X5 BRANCA","86.0","518,9","C","0,69"
"21,1","10X7 BRANCA","48.0","485,04","C","0,64"
"17","LIBRA C/10","10.0","450,0","C","0,6"
"24,3","20X7 ROXA","22.0","447,76","C","0,59"
"165,1","CIRIO 20X2,7 BRANCA","60.0","268,1","C","0,36"
"21,3","10X7 ROXA","24.0","233,52","C","0,31"
"10,2","15X5 7 DIAS BRANCA","24.0","197,76","C","0,26"
"164,1","CIRIO 25X2,7 BRANCA","40.0","192,8","C","0,26"
"42,3","15X7 ROXA","12.0","174,6","C","0,23"
"42,2","15X7 AMARELA","12.0","174,6","C","0,23"
"10,5","15X5 VOTIVA ROXA","20.0","153,0","C","0,2"
"24,6","20X7 VERDE","6.0","123,72","C","0,16"
"210,3","10X5 ROXA","20.0","108,6","C","0,14"
"69","LITÚRGICA C/10","1.0","98,3","C","0,13"
"210,2","10X5 AMARELA","10.0","54,3","C","0,07"
"161","PARAFINA KG","1.0","46,0","C","0,06"
"216,1","40x3,5 BRANCA","4.0","37,92","C","0,05"
"","Total vendido","","","","75258,27"
