"código","nome","numero de vendas","valor vendido","ABC","ABC %"
"54","BATISMO DOURADA","3400.0","7477,9","A","15,13"
"8,1","5X5 BRANCA","2360.0","7393,98","A","14,96"
"70,1","PALITO C/100 BRANCA","14000.0","6135,39","A","12,41"
"24,1","20X7 BRANCA","171.0","3858,35","A","7,81"
"9,1","30X7 BRANCA","114.0","3792,89","A","7,67"
"14,1","CIRIO 40X2,7 BRANCA","424.0","3511,98","A","7,11"
"107","CRISMA DOURADA","1505.0","2727,45","A","5,52"
"82,1","7X5 BRANCA","415.0","2345,9","A","4,75"
"10,3","15X5 VOTIVA AMARELA","260.0","2107,0","A","4,26"
"10,1","15X5 VOTIVA BRANCA","217.0","1895,38","B","3,84"
"32","PRIMEIRA COMUNHAO DOURADA","1005.0","1852,45","B","3,75"
"42,1","15X7 BRANCA","110.0","1679,61","B","3,4"
"23,1","30X8 BRANCA","21.0","1272,34","B","2,57"
"157,1","40X8 BRANCA","10.0","898,3","C","1,82"
"17","LIBRA C/10","13.0","629,74","C","1,27"
"160,2","40X7 AMARELA","13.0","512,38","C","1,04"
"69","LITÚRGICA C/10","3.0","330,48","C","0,67"
"48,1","25X7 BRANCA","12.0","283,68","C","0,57"
"59,5","FLOR P ROSA","60.0","208,63","C","0,42"
"15,1","20X8 BRANCA","4.0","160,0","C","0,32"
"167,1","CIRIO 15X2,7 BRANCA","20.0","77,2","C","0,16"
"210,1","10X5 BRANCA","12.0","64,3","C","0,13"
"81,1","RECHAUD  ","50.0","58,66","C","0,12"
"196,3","MINI AROMÁTICA ALGODÃO","5.0","47,5","C","0,1"
"24,6","20X7 VERDE","2.0","41,24","C","0,08"
"176,1","2X7 FLUTUANTE BRANCA","7.0","26,71","C","0,05"
"59,6","FLOR P VERDE","5.0","17,5","C","0,04"
"59,4","FLOR P VERMELHA","4.0","12,63","C","0,03"
"","Total vendido","","","","49419,57"
