"código","nome","numero de vendas","valor vendido","ABC","ABC %"
"24,1","20X7 BRANCA","599.0","12839,47","A","13,14"
"70,1","PALITO C/100 BRANCA","21800.0","10712,04","A","10,96"
"107","CRISMA DOURADA","4952.0","10321,51","A","10,56"
"9,1","30X7 BRANCA","299.0","10043,39","A","10,28"
"32","PRIMEIRA COMUNHAO DOURADA","5054.0","9839,48","A","10,07"
"54","BATISMO DOURADA","4490.0","9371,63","A","9,59"
"17","LIBRA C/10","104.0","4809,03","A","4,92"
"82,1","7X5 BRANCA","1027.0","4339,5","A","4,44"
"14,1","CIRIO 40X2,7 BRANCA","530.0","4259,65","A","4,36"
"48,1","25X7 BRANCA","158.0","4007,93","B","4,1"
"10,3","15X5 VOTIVA AMARELA","430.0","3383,9","B","3,46"
"160,2","40X7 AMARELA","72.0","2867,04","B","2,93"
"42,1","15X7 BRANCA","122.0","1857,49","B","1,9"
"10,1","15X5 VOTIVA BRANCA","200.0","1595,88","B","1,63"
"101,1","25X8 BRANCA","23.0","893,53","B","0,91"
"160,1","40X7 BRANCA","17.0","795,21","B","0,81"
"8,1","5X5 BRANCA","237.0","758,04","B","0,78"
"21,1","10X7 BRANCA","72.0","736,56","C","0,75"
"24,2","20X7 AMARELA","32.0","730,03","C","0,75"
"216,1","40x3,5 BRANCA","45.0","585,15","C","0,6"
"23,1","30X8 BRANCA","15.0","514,8","C","0,53"
"14,2","CIRIO 40X2,7 AMARELA","44.0","375,76","C","0,38"
"15,1","20X8 BRANCA","15.0","348,15","C","0,36"
"104,1","15X8 BRANCA","16.0","294,91","C","0,3"
"69","LITÚRGICA C/10","3.0","269,03","C","0,28"
"9,3","30X7 ROXA","8.0","226,08","C","0,23"
"10,2","15X5 7 DIAS BRANCA","25.0","198,12","C","0,2"
"158,1","35X7 BRANCA","4.0","133,56","C","0,14"
"21,2","10X7 AMARELA","12.0","116,76","C","0,12"
"210,1","10X5 BRANCA","17.0","99,45","C","0,1"
"81,1","RECHAUD  ","74.0","90,37","C","0,09"
"29,1","CIRIO 30X2,7 BRANCA","10.0","90,18","C","0,09"
"165,1","CIRIO 20X2,7 BRANCA","20.0","79,4","C","0,08"
"49,1","3X5 BRANCA","23.0","53,94","C","0,06"
"59,1","FLOR P BRANCA","12.0","44,3","C","0,05"
"59,5","FLOR P ROSA","5.0","25,5","C","0,03"
"161","PARAFINA KG","1.0","23,2","C","0,02"
"","Total vendido","","","","97729,97"
