"código","nome","numero de vendas","valor vendido","ABC","ABC %"
"24,1","20X7 BRANCA","450.0","9356,82","A","10,9"
"54","BATISMO DOURADA","4500.0","8854,5","A","10,31"
"107","CRISMA DOURADA","3870.0","6864,19","A","8,0"
"32","PRIMEIRA COMUNHAO DOURADA","3880.0","6703,11","A","7,81"
"8,1","5X5 BRANCA","2065.0","6695,85","A","7,8"
"82,1","7X5 BRANCA","1410.0","5902,04","A","6,87"
"163,1","CIRIO 35X2,7 BRANCA","560.0","3892,0","A","4,53"
"14,1","CIRIO 40X2,7 BRANCA","375.0","3578,0","A","4,17"
"42,1","15X7 BRANCA","234.0","3503,16","A","4,08"
"70,1","PALITO C/100 BRANCA","8000.0","3466,3","A","4,04"
"101,1","25X8 BRANCA","113.0","3307,35","A","3,85"
"17","LIBRA C/10","60.0","3082,08","A","3,59"
"10,1","15X5 VOTIVA BRANCA","330.0","2648,4","A","3,08"
"48,1","25X7 BRANCA","91.0","2321,57","B","2,7"
"9,1","30X7 BRANCA","68.0","2030,52","B","2,37"
"23,1","30X8 BRANCA","21.0","1225,09","B","1,43"
"21,1","10X7 BRANCA","120.0","1221,6","B","1,42"
"14,2","CIRIO 40X2,7 AMARELA","128.0","1045,58","B","1,22"
"216,1","40x3,5 BRANCA","86.0","945,81","B","1,1"
"10,2","15X5 7 DIAS BRANCA","120.0","918,0","B","1,07"
"9,2","30X7 AMARELA","27.0","845,72","B","0,99"
"157,1","40X8 BRANCA","10.0","817,28","B","0,95"
"116,1","15X5 DEVOCIONAL SÃO MIGUEL","80.0","732,0","B","0,85"
"29,1","CIRIO 30X2,7 BRANCA","107.0","617,13","B","0,72"
"24,2","20X7 AMARELA","27.0","561,01","B","0,65"
"15,1","20X8 BRANCA","23.0","548,15","C","0,64"
"69","LITÚRGICA C/10","5.0","514,08","C","0,6"
"24,4","20X7 VERMELHA","20.0","493,46","C","0,57"
"104,1","15X8 BRANCA","23.0","415,45","C","0,48"
"165,1","CIRIO 20X2,7 BRANCA","100.0","397,0","C","0,46"
"15,2","20X8 AMARELA","7.0","286,84","C","0,33"
"218,1","30X3,5 BRANCA","36.0","263,52","C","0,31"
"48,2","25X7 AMARELA","6.0","250,4","C","0,29"
"82,3","7X5 ROXA","60.0","241,8","C","0,28"
"82,6","7X5 VERDE","60.0","241,8","C","0,28"
"82,5","7X5 ROSA","60.0","241,8","C","0,28"
"220,1","20X3,5 BRANCA","40.0","199,2","C","0,23"
"42,2","15X7 AMARELA","6.0","154,17","C","0,18"
"81,1","RECHAUD  ","110.0","135,4","C","0,16"
"23,2","30X8 AMARELA","2.0","121,17","C","0,14"
"210,1","10X5 BRANCA","20.0","108,6","C","0,13"
"21,2","10X7 AMARELA","4.0","68,69","C","0,08"
"49,1","3X5 BRANCA","12.0","27,36","C","0,03"
"197,1","NUMERO 3 C/8 BRANCA","1.0","7,94","C","0,01"
"","Total vendido","","","","85851,94"
