"código","nome","numero de vendas","valor vendido","ABC","ABC %"
"24,1","20X7 BRANCA","524.0","11843,35","A","15,27"
"9,1","30X7 BRANCA","223.0","7842,83","A","10,12"
"107","CRISMA DOURADA","3850.0","7032,02","A","9,07"
"54","BATISMO DOURADA","3400.0","6450,25","A","8,32"
"163,1","CIRIO 35X2,7 BRANCA","880.0","6220,8","A","8,02"
"32","PRIMEIRA COMUNHAO DOURADA","2400.0","4043,25","A","5,21"
"10,2","15X5 7 DIAS BRANCA","360.0","3330,0","A","4,29"
"42,1","15X7 BRANCA","198.0","3158,04","A","4,07"
"48,1","25X7 BRANCA","106.0","2779,78","A","3,59"
"23,1","30X8 BRANCA","43.0","2439,76","A","3,15"
"10,1","15X5 VOTIVA BRANCA","260.0","2182,52","A","2,81"
"14,1","CIRIO 40X2,7 BRANCA","228.0","2108,77","A","2,72"
"200,1","NUMERO 8 C/8 BRANCA","225.0","1995,75","A","2,57"
"10,4","15X5 7 DIAS AMARELA","200.0","1850,0","B","2,39"
"82,1","7X5 BRANCA","378.0","1694,56","B","2,19"
"70,1","PALITO C/100 BRANCA","2900.0","1466,5","B","1,89"
"29,1","CIRIO 30X2,7 BRANCA","200.0","1194,0","B","1,54"
"23,2","30X8 AMARELA","30.0","1108,8","B","1,43"
"200,2","NUMERO 8 C/8 AMARELA","109.0","966,83","B","1,25"
"15,1","20X8 BRANCA","23.0","942,47","B","1,22"
"21,1","10X7 BRANCA","84.0","853,32","B","1,1"
"199,1","NUMERO 6 C/8 BRANCA","84.0","606,48","B","0,78"
"199,2","NUMERO 6 C/8 AMARELA","84.0","606,48","B","0,78"
"8,1","5X5 BRANCA","150.0","571,3","B","0,74"
"42,2","15X7 AMARELA","24.0","349,2","B","0,45"
"210,4","10X5 VERMELHA","60.0","333,45","C","0,43"
"210,2","10X5 AMARELA","60.0","333,45","C","0,43"
"210,1","10X5 BRANCA","60.0","333,45","C","0,43"
"10,3","15X5 VOTIVA AMARELA","40.0","313,12","C","0,4"
"10,7","15X5 VOTIVA VERMELHA","40.0","313,12","C","0,4"
"24,4","20X7 VERMELHA","16.0","306,4","C","0,4"
"116,1","15X5 DEVOCIONAL SÃO MIGUEL","28.0","295,0","C","0,38"
"15,2","20X8 AMARELA","7.0","286,84","C","0,37"
"50","SACRAMENTO LISA","200.0","280,0","C","0,36"
"14,2","CIRIO 40X2,7 AMARELA","32.0","276,16","C","0,36"
"165,1","CIRIO 20X2,7 BRANCA","35.0","151,42","C","0,2"
"167,1","CIRIO 15X2,7 BRANCA","20.0","123,8","C","0,16"
"21,2","10X7 AMARELA","12.0","116,76","C","0,15"
"116,3","15X5 DEVOCIONAL N SENHORA APARECIDA","8.0","112,0","C","0,14"
"116,2","15X5 DEVOCIONAL SAGRADA FAMÍLIA","8.0","112,0","C","0,14"
"216,1","40x3,5 BRANCA","8.0","75,84","C","0,1"
"24,2","20X7 AMARELA","2.0","75,12","C","0,1"
"49,1","3X5 BRANCA","27.0","61,56","C","0,08"
"","Total vendido","","","","77536,55"
