"código","nome","numero de vendas","valor vendido","ABC","ABC %"
"8,1","5X5 BRANCA","6047.0","20849,5","A","24,2"
"116,1","15X5 DEVOCIONAL SÃO MIGUEL","1561.0","15563,0","A","18,06"
"24,1","20X7 BRANCA","334.0","7976,39","A","9,26"
"54","BATISMO DOURADA","2750.0","5059,95","A","5,87"
"107","CRISMA DOURADA","2350.0","4642,15","A","5,39"
"14,1","CIRIO 40X2,7 BRANCA","592.0","4411,93","A","5,12"
"82,1","7X5 BRANCA","732.0","3429,26","A","3,98"
"23,1","30X8 BRANCA","64.0","2710,5","A","3,15"
"48,1","25X7 BRANCA","86.0","2627,57","A","3,05"
"9,1","30X7 BRANCA","67.0","2337,07","B","2,71"
"24,2","20X7 AMARELA","102.0","2334,33","B","2,71"
"32","PRIMEIRA COMUNHAO DOURADA","1000.0","1821,0","B","2,11"
"42,1","15X7 BRANCA","88.0","1651,83","B","1,92"
"9,2","30X7 AMARELA","48.0","1543,71","B","1,79"
"15,1","20X8 BRANCA","50.0","1218,24","B","1,41"
"163,1","CIRIO 35X2,7 BRANCA","172.0","1187,49","B","1,38"
"104,1","15X8 BRANCA","62.0","1137,02","B","1,32"
"10,1","15X5 VOTIVA BRANCA","112.0","1003,52","B","1,16"
"21,1","10X7 BRANCA","69.0","787,96","C","0,91"
"50","SACRAMENTO LISA","444.0","730,24","C","0,85"
"17","LIBRA C/10","12.0","527,79","C","0,61"
"101,2","25X8 AMARELA","7.0","385,68","C","0,45"
"70,1","PALITO C/100 BRANCA","7.0","343,9","C","0,4"
"210,1","10X5 BRANCA","40.0","254,8","C","0,3"
"49,1","3X5 BRANCA","70.0","234,45","C","0,27"
"176,1","2X7 FLUTUANTE BRANCA","53.0","220,64","C","0,26"
"101,1","25X8 BRANCA","4.0","220,39","C","0,26"
"167,1","CIRIO 15X2,7 BRANCA","48.0","201,53","C","0,23"
"157,1","40X8 BRANCA","2.0","173,39","C","0,2"
"160,1","40X7 BRANCA","2.0","141,59","C","0,16"
"21,2","10X7 AMARELA","12.0","137,76","C","0,16"
"216,1","40x3,5 BRANCA","7.0","124,11","C","0,14"
"8,2","5X5 AMARELA","20.0","71,2","C","0,08"
"199,1","NUMERO 6 C/8 BRANCA","10.0","70,6","C","0,08"
"196,1","MINI AROMÁTICA LAVANDA","4.0","42,0","C","0,05"
"","Total vendido","","","","86172,49"
