"código","nome","numero de vendas","valor vendido","ABC","ABC %"
"54","BATISMO DOURADA","5350.0","9514,4","A","15,31"
"9,1","30X7 BRANCA","288.0","8246,19","A","13,27"
"24,1","20X7 BRANCA","366.0","7733,99","A","12,45"
"10,1","15X5 VOTIVA BRANCA","670.0","4752,7","A","7,65"
"107","CRISMA DOURADA","2455.0","4662,15","A","7,5"
"32","PRIMEIRA COMUNHAO DOURADA","2565.0","4595,15","A","7,4"
"82,1","7X5 BRANCA","766.0","3053,52","A","4,91"
"8,1","5X5 BRANCA","880.0","2634,69","A","4,24"
"42,1","15X7 BRANCA","164.0","2331,95","A","3,75"
"14,1","CIRIO 40X2,7 BRANCA","172.0","1146,48","A","1,85"
"10,2","15X5 7 DIAS BRANCA","158.0","1113,98","B","1,79"
"48,1","25X7 BRANCA","38.0","992,93","B","1,6"
"160,1","40X7 BRANCA","24.0","924,4","B","1,49"
"17","LIBRA C/10","19.0","822,7","B","1,32"
"29,1","CIRIO 30X2,7 BRANCA","148.0","747,4","B","1,2"
"14,2","CIRIO 40X2,7 AMARELA","108.0","722,16","B","1,16"
"200,1","NUMERO 8 C/8 BRANCA","100.0","676,0","B","1,09"
"9,2","30X7 AMARELA","20.0","557,4","B","0,9"
"167,1","CIRIO 15X2,7 BRANCA","200.0","556,0","B","0,89"
"48,2","25X7 AMARELA","20.0","466,4","B","0,75"
"21,1","10X7 BRANCA","42.0","452,21","B","0,73"
"215,1","2x5 BRANCA","150.0","432,0","B","0,7"
"70","PALITO C/100","10.0","400,8","B","0,65"
"23,1","30X8 BRANCA","7.0","388,65","B","0,63"
"23,2","30X8 AMARELA","7.0","388,65","B","0,63"
"165,1","CIRIO 20X2,7 BRANCA","100.0","356,0","B","0,57"
"163,1","CIRIO 35X2,7 BRANCA","40.0","275,95","B","0,44"
"15,2","20X8 AMARELA","6.0","225,4","C","0,36"
"197,1","NUMERO 3 C/8 BRANCA","50.0","207,5","C","0,33"
"10,11","15X5 VOTIVA VERDE","20.0","151,4","C","0,24"
"157,1","40X8 BRANCA","2.0","148,07","C","0,24"
"70,2","PALITO C/100 AMARELA","2.0","144,0","C","0,23"
"49,1","3X5 BRANCA","44.0","128,25","C","0,21"
"24,2","20X7 AMARELA","4.0","124,27","C","0,2"
"10,5","15X5 VOTIVA ROXA","16.0","121,12","C","0,19"
"42,3","15X7 ROXA","8.0","112,12","C","0,18"
"42,4","15X7 VERMELHA","8.0","112,12","C","0,18"
"42,6","15X7 VERDE","8.0","112,12","C","0,18"
"24,3","20X7 ROXA","6.0","111,0","C","0,18"
"104,1","15X8 BRANCA","4.0","108,56","C","0,17"
"103,1","10X8 BRANCA","4.0","87,92","C","0,14"
"8,3","5X5 ROXA","30.0","85,0","C","0,14"
"8,6","5X5 VERDE","30.0","85,0","C","0,14"
"8,5","5X5 ROSA","30.0","85,0","C","0,14"
"8,4","5X5 VERMELHA","30.0","85,0","C","0,14"
"10,7","15X5 VOTIVA VERMELHA","10.0","75,7","C","0,12"
"10,9","15X5 VOTIVA ROSA","10.0","75,7","C","0,12"
"21,5","10X7 VERDE","6.0","57,3","C","0,09"
"21,3","10X7 ROXA","6.0","57,3","C","0,09"
"21,4","10X7 VERMELHA","6.0","57,3","C","0,09"
"81,4","RECHAUD VERMELHA","50.0","55,0","C","0,09"
"210,3","10X5 ROXA","10.0","53,8","C","0,09"
"210,4","10X5 VERMELHA","10.0","53,8","C","0,09"
"210,5","10X5 VERDE","10.0","53,8","C","0,09"
"210,1","10X5 BRANCA","10.0","53,8","C","0,09"
"9,3","30X7 ROXA","2.0","51,76","C","0,08"
"9,6","30X7 VERDE","2.0","51,76","C","0,08"
"9,4","30X7 VERMELHA","2.0","51,76","C","0,08"
"82,4","7X5 VERMELHA","10.0","40,1","C","0,06"
"82,3","7X5 ROXA","10.0","40,1","C","0,06"
"82,6","7X5 VERDE","10.0","40,1","C","0,06"
"24,4","20X7 VERMELHA","2.0","35,2","C","0,06"
"24,6","20X7 VERDE","2.0","35,2","C","0,06"
"196","MINI AROMÁTICA","1.0","11,75","C","0,02"
"","Total vendido","","","","62129,93"
