"código","nome","numero de vendas","valor vendido","ABC","ABC %"
"24,1","20X7 BRANCA","420.0","8972,78","A","15,37"
"8,1","5X5 BRANCA","2291.0","8098,36","A","13,87"
"54","BATISMO DOURADA","3890.0","7408,83","A","12,69"
"9,1","30X7 BRANCA","235.0","7176,51","A","12,3"
"32","PRIMEIRA COMUNHAO DOURADA","2480.0","4254,11","A","7,29"
"82,1","7X5 BRANCA","746.0","3371,37","A","5,78"
"48,1","25X7 BRANCA","112.0","2971,46","A","5,09"
"14,1","CIRIO 40X2,7 BRANCA","304.0","2810,71","A","4,82"
"17","LIBRA C/10","47.0","2119,5","B","3,63"
"107","CRISMA DOURADA","970.0","1856,01","B","3,18"
"42,1","15X7 BRANCA","132.0","1694,9","B","2,9"
"116,1","15X5 DEVOCIONAL SÃO MIGUEL","240.0","1529,83","B","2,62"
"24,2","20X7 AMARELA","44.0","1026,88","B","1,76"
"157,1","40X8 BRANCA","10.0","963,3","B","1,65"
"163,1","CIRIO 35X2,7 BRANCA","80.0","507,68","B","0,87"
"49,1","3X5 BRANCA","155.0","507,46","B","0,87"
"15,1","20X8 BRANCA","14.0","362,69","C","0,62"
"101,1","25X8 BRANCA","10.0","324,71","C","0,56"
"70,1","PALITO C/100 BRANCA","4.0","292,45","C","0,5"
"23,1","30X8 BRANCA","4.0","274,25","C","0,47"
"104,1","15X8 BRANCA","12.0","235,52","C","0,4"
"216,2","40x3,5 AMARELA","20.0","226,4","C","0,39"
"210,1","10X5 BRANCA","30.0","191,1","C","0,33"
"200,1","NUMERO 8 C/8 BRANCA","21.0","181,8","C","0,31"
"158,1","35X7 BRANCA","5.0","178,6","C","0,31"
"176,1","2X7 FLUTUANTE BRANCA","35.0","150,96","C","0,26"
"24,4","20X7 VERMELHA","4.0","144,82","C","0,25"
"21,1","10X7 BRANCA","12.0","141,89","C","0,24"
"69","LITÚRGICA C/10","1.0","115,67","C","0,2"
"10,3","15X5 VOTIVA AMARELA","6.0","73,02","C","0,13"
"165,1","CIRIO 20X2,7 BRANCA","16.0","64,65","C","0,11"
"10,2","15X5 7 DIAS BRANCA","5.0","64,04","C","0,11"
"64,1","2X8 FLUTUANTE BRANCA","6.0","35,94","C","0,06"
"10,1","15X5 VOTIVA BRANCA","2.0","25,62","C","0,04"
"50","SACRAMENTO LISA","2.0","13,27","C","0,02"
"","Total vendido","","","","58367,09"
