"código","nome","numero de vendas","valor vendido","ABC","ABC %"
"8,1","5X5 BRANCA","2335.0","6881,32","A","9,87"
"9,1","30X7 BRANCA","180.0","6135,87","A","8,8"
"24,1","20X7 BRANCA","320.0","5892,19","A","8,45"
"54","BATISMO DOURADA","2820.0","5089,0","A","7,3"
"24,3","20X7 ROXA","223.0","3741,6","A","5,36"
"32","PRIMEIRA COMUNHAO DOURADA","1645.0","3538,9","A","5,07"
"24,6","20X7 VERDE","210.0","3426,0","A","4,91"
"24,5","20X7 ROSA","206.0","3355,6","A","4,81"
"9,3","30X7 ROXA","113.0","2729,42","A","3,91"
"9,5","30X7 ROSA","107.0","2570,16","A","3,69"
"9,6","30X7 VERDE","107.0","2570,16","A","3,69"
"42,3","15X7 ROXA","208.0","2552,0","A","3,66"
"42,5","15X7 ROSA","206.0","2525,5","A","3,62"
"42,6","15X7 VERDE","206.0","2525,5","A","3,62"
"82,1","7X5 BRANCA","467.0","1933,29","A","2,77"
"14,1","CIRIO 40X2,7 BRANCA","260.0","1931,16","B","2,77"
"107","CRISMA DOURADA","975.0","1888,45","B","2,71"
"48,1","25X7 BRANCA","77.0","1698,78","B","2,44"
"15,1","20X8 BRANCA","26.0","976,72","B","1,4"
"82,6","7X5 VERDE","280.0","963,2","B","1,38"
"82,3","7X5 ROXA","280.0","963,2","B","1,38"
"82,5","7X5 ROSA","280.0","963,2","B","1,38"
"51","2X5","600.0","960,0","B","1,38"
"82,4","7X5 VERMELHA","80.0","584,0","C","0,84"
"24,2","20X7 AMARELA","30.0","528,0","C","0,76"
"42,1","15X7 BRANCA","38.0","527,84","C","0,76"
"17","LIBRA C/10","9.0","396,9","C","0,57"
"9,4","30X7 VERMELHA","10.0","262,78","C","0,38"
"9,2","30X7 AMARELA","10.0","258,8","C","0,37"
"21,1","10X7 BRANCA","23.0","204,01","C","0,29"
"70,1","PALITO C/100 BRANCA","4.0","192,24","C","0,28"
"24,4","20X7 VERMELHA","10.0","176,0","C","0,25"
"160,1","40X7 BRANCA","4.0","147,12","C","0,21"
"42,4","15X7 VERMELHA","7.0","105,48","C","0,15"
"10,2","15X5 7 DIAS BRANCA","15.0","105,45","C","0,15"
"21,3","10X7 ROXA","11.0","97,57","C","0,14"
"69","LITÚRGICA C/10","1.0","91,8","C","0,13"
"196","MINI AROMÁTICA","28.0","75,6","C","0,11"
"21,6","10X7 ROSA","7.0","62,09","C","0,09"
"21,5","10X7 VERDE","7.0","62,09","C","0,09"
"21,4","10X7 VERMELHA","6.0","53,22","C","0,08"
"","Total vendido","","","","69742,21"
