"código","nome","numero de vendas","valor vendido","ABC","ABC %"
"24,1","20X7 BRANCA","303.0","6256,49","A","14,74"
"32","PRIMEIRA COMUNHAO DOURADA","2320.0","3695,2","A","8,7"
"9,1","30X7 BRANCA","114.0","3388,59","A","7,98"
"8,1","5X5 BRANCA","1087.0","3282,32","A","7,73"
"54","BATISMO DOURADA","1999.0","3196,56","A","7,53"
"42,1","15X7 BRANCA","152.0","2277,49","A","5,36"
"10,1","15X5 VOTIVA BRANCA","262.0","2202,44","A","5,19"
"107","CRISMA DOURADA","1240.0","2139,1","A","5,04"
"70,1","PALITO C/100 BRANCA","51.0","2118,24","A","4,99"
"82,1","7X5 BRANCA","426.0","1765,27","A","4,16"
"157,1","40X8 BRANCA","15.0","1099,44","A","2,59"
"14,1","CIRIO 40X2,7 BRANCA","160.0","1060,8","A","2,5"
"157,2","40X8 AMARELA","12.0","987,12","A","2,32"
"160,1","40X7 BRANCA","28.0","956,48","B","2,25"
"17","LIBRA C/10","19.0","872,1","B","2,05"
"24,2","20X7 AMARELA","48.0","844,8","B","1,99"
"158,1","35X7 BRANCA","18.0","781,69","B","1,84"
"23,1","30X8 BRANCA","12.0","703,27","B","1,66"
"14,2","CIRIO 40X2,7 AMARELA","84.0","578,32","B","1,36"
"21,1","10X7 BRANCA","59.0","529,96","B","1,25"
"69","LITÚRGICA C/10","4.0","367,2","B","0,86"
"210,1","10X5 BRANCA","59.0","349,82","B","0,82"
"29,1","CIRIO 30X2,7 BRANCA","50.0","260,3","B","0,61"
"215,1","2x5 BRANCA","90.0","259,2","B","0,61"
"10,2","15X5 7 DIAS BRANCA","20.0","248,22","B","0,58"
"104,1","15X8 BRANCA","7.0","221,48","C","0,52"
"64,1","2X8 FLUTUANTE BRANCA","38.0","200,94","C","0,47"
"9,3","30X7 ROXA","3.0","152,28","C","0,36"
"163,1","CIRIO 35X2,7 BRANCA","24.0","152,16","C","0,36"
"42,2","15X7 AMARELA","5.0","127,3","C","0,3"
"49,1","3X5 BRANCA","60.0","126,0","C","0,3"
"103,1","10X8 BRANCA","6.0","120,0","C","0,28"
"165,1","CIRIO 20X2,7 BRANCA","16.0","92,74","C","0,22"
"176,1","2X7 FLUTUANTE BRANCA","20.0","86,5","C","0,2"
"164,1","CIRIO 25X2,7 BRANCA","12.0","85,75","C","0,2"
"49,3","3X5 ROXA","40.0","84,0","C","0,2"
"49,4","3X5 VERMELHA","40.0","84,0","C","0,2"
"49,6","3X5 VERDE","40.0","84,0","C","0,2"
"59,4","FLOR P VERMELHA","20.0","64,0","C","0,15"
"24,4","20X7 VERMELHA","2.0","61,04","C","0,14"
"196,1","MINI AROMÁTICA LAVANDA","5.0","59,9","C","0,14"
"21,5","10X7 VERDE","6.0","59,85","C","0,14"
"21,4","10X7 VERMELHA","6.0","59,85","C","0,14"
"21,3","10X7 ROXA","6.0","59,85","C","0,14"
"9,5","30X7 ROSA","1.0","50,76","C","0,12"
"48,1","25X7 BRANCA","2.0","46,5","C","0,11"
"10,3","15X5 VOTIVA AMARELA","3.0","41,37","C","0,1"
"81,1","RECHAUD  ","20.0","24,0","C","0,06"
"82,4","7X5 VERMELHA","3.0","23,9","C","0,06"
"82,6","7X5 VERDE","3.0","23,9","C","0,06"
"82,3","7X5 ROXA","3.0","23,9","C","0,06"
"8,3","5X5 ROXA","1.0","6,92","C","0,02"
"8,4","5X5 VERMELHA","1.0","6,92","C","0,02"
"8,6","5X5 VERDE","1.0","6,92","C","0,02"
"","Total vendido","","","","42457,15"
